n,chrms,starts,ends
2762,1,50835000,51655000
2763,1,50837500,51072500
2764,1,50837500,51172500
2773,1,51237500,51657500
2774,1,51335000,51655000
2776,1,52362500,52467500
2777,1,52605000,52765000
2778,1,52605000,53155000
2782,1,53167500,53652500
2792,1,53747500,53857500
2816,1,54325000,54425000
2818,1,54357500,54407500
2824,1,54537500,54957500
2833,1,54877500,54952500
2836,1,54965000,55275000
2839,1,55142500,55277500
2846,1,55417500,55462500
2852,1,55602500,55742500
2853,1,55605000,57055000
2864,1,55752500,57047500
2865,1,55755000,57175000
2872,1,55845000,57055000
2923,1,57295000,58505000
2998,1,58977500,59112500
2999,1,58977500,60222500
3014,1,59202500,60162500
3015,1,59205000,60225000
3016,1,59205000,60415000
3042,1,60347500,60417500
3062,1,61305000,61925000
3086,1,62015000,62315000
3113,1,62547500,62597500
3115,1,62642500,62872500
3116,1,62642500,63212500
3127,1,62972500,63212500
3143,1,63782500,63907500
3146,1,64075000,64605000
3147,1,64075000,64705000
3148,1,64085000,64385000
3149,1,64145000,64705000
3162,1,64735000,65145000
3163,1,64735000,65295000
3187,1,65332500,65417500
3189,1,65362500,65427500
3191,1,65522500,66152500
3192,1,65525000,65675000
3202,1,65702500,66152500
3218,1,65895000,66155000
3219,1,66175000,66705000
3222,1,66415000,66925000
3223,1,66417500,66707500
3231,1,66725000,67195000
3232,1,66727500,66902500
3233,1,66747500,66797500
3243,1,66845000,66905000
3260,1,67227500,67612500
3261,1,67227500,67967500
3265,1,67455000,67965000
3266,1,67457500,67612500
3267,1,67457500,67677500
3278,1,67607500,67967500
3280,1,67697500,67967500
3283,1,67805000,68215000
3287,1,67812500,67967500
3296,1,68027500,68227500
3302,1,68152500,68227500
3322,1,68585000,70195000
3325,1,68587500,68807500
3326,1,68587500,68907500
3359,1,70602500,70977500
3360,1,70822500,70877500
3361,1,70992500,71522500
3365,1,71152500,71517500
3524,1,74305000,74455000
3581,1,75237500,75672500
3603,1,75725000,76095000
3618,1,76192500,76252500
3644,1,76622500,77607500
3692,1,77365000,77595000
3715,1,77615000,78575000
3717,1,77617500,77997500
3749,1,78597500,79137500
